Date,Elliott Bay Trail in Myrtle Edwards Park Total,Ped North,Ped South,Bike North,Bike South
5/11/2013 0:00,5,0,0,0,5
5/11/2013 1:00,4,0,0,0,4
5/11/2013 2:00,2,0,0,0,2
5/11/2013 3:00,1,0,0,0,1
5/11/2013 4:00,0,0,0,0,0
5/11/2013 5:00,3,0,0,2,1
5/11/2013 6:00,11,0,0,4,7
5/11/2013 7:00,49,0,0,26,23
5/11/2013 8:00,46,0,0,27,19
5/11/2013 9:00,91,0,0,39,52
5/11/2013 10:00,86,0,0,45,41
5/11/2013 11:00,112,0,0,65,47
5/11/2013 12:00,180,0,0,122,58
5/11/2013 13:00,144,0,0,57,87
5/11/2013 14:00,190,0,0,102,88
5/11/2013 15:00,195,0,0,54,141
5/11/2013 16:00,185,0,0,70,115
5/11/2013 17:00,171,0,0,75,96
5/11/2013 18:00,129,0,0,64,65
5/11/2013 19:00,67,0,0,22,45
5/11/2013 20:00,32,0,0,13,19
5/11/2013 21:00,19,0,0,10,9
5/11/2013 22:00,9,0,0,2,7
5/11/2013 23:00,4,0,0,0,4
5/12/2013 0:00,7,0,0,0,7
5/12/2013 1:00,1,0,0,0,1
5/12/2013 2:00,2,0,0,0,2
5/12/2013 3:00,1,0,0,0,1
5/12/2013 4:00,2,0,0,0,2
5/12/2013 5:00,3,0,0,1,2
5/12/2013 6:00,4,0,0,3,1
5/12/2013 7:00,7,0,0,3,4
5/12/2013 8:00,19,0,0,14,5
5/12/2013 9:00,18,0,0,8,10
5/12/2013 10:00,22,0,0,15,7
5/12/2013 11:00,28,0,0,18,10
5/12/2013 12:00,46,0,0,26,20
5/12/2013 13:00,47,0,0,21,26
5/12/2013 14:00,63,0,0,28,35
5/12/2013 15:00,71,0,0,39,32
5/12/2013 16:00,55,0,0,20,35
5/12/2013 17:00,72,0,0,40,32
5/12/2013 18:00,41,0,0,16,25
5/12/2013 19:00,25,0,0,10,15
5/12/2013 20:00,5,0,0,3,2
5/12/2013 21:00,3,0,0,1,2
5/12/2013 22:00,3,0,0,0,3
5/12/2013 23:00,3,0,0,0,3
5/13/2013 0:00,0,0,0,0,0
5/13/2013 1:00,0,0,0,0,0
5/13/2013 2:00,2,0,0,1,1
5/13/2013 3:00,1,0,0,0,1
5/13/2013 4:00,1,0,0,0,1
5/13/2013 5:00,25,0,0,13,12
5/13/2013 6:00,66,0,0,43,23
5/13/2013 7:00,181,0,0,132,49
5/13/2013 8:00,150,0,0,122,28
5/13/2013 9:00,70,0,0,54,16
5/13/2013 10:00,26,0,0,17,9
5/13/2013 11:00,13,0,0,7,6
5/13/2013 12:00,22,0,0,9,13
5/13/2013 13:00,15,0,0,9,6
5/13/2013 14:00,18,0,0,10,8
5/13/2013 15:00,50,0,0,24,26
5/13/2013 16:00,99,0,0,25,74
5/13/2013 17:00,213,0,0,42,171
5/13/2013 18:00,93,0,0,12,81
5/13/2013 19:00,61,0,0,13,48
5/13/2013 20:00,49,0,0,11,38
5/13/2013 21:00,24,0,0,13,11
5/13/2013 22:00,4,0,0,1,3
5/13/2013 23:00,1,0,0,0,1
5/14/2013 0:00,2,0,0,0,2
5/14/2013 1:00,0,0,0,0,0
5/14/2013 2:00,0,0,0,0,0
5/14/2013 3:00,2,0,0,1,1
5/14/2013 4:00,1,0,0,0,1
5/14/2013 5:00,30,0,0,15,15
5/14/2013 6:00,97,0,0,68,29
5/14/2013 7:00,194,0,0,147,47
5/14/2013 8:00,195,0,0,160,35
5/14/2013 9:00,91,0,0,63,28
5/14/2013 10:00,36,0,0,25,11
5/14/2013 11:00,38,0,0,18,20
5/14/2013 12:00,36,0,0,18,18
5/14/2013 13:00,41,0,0,23,18
5/14/2013 14:00,59,0,0,29,30
5/14/2013 15:00,98,0,0,40,58
5/14/2013 16:00,198,0,0,60,138
5/14/2013 17:00,309,0,0,54,255
5/14/2013 18:00,192,0,0,43,149
5/14/2013 19:00,112,0,0,37,75
5/14/2013 20:00,46,0,0,23,23
5/14/2013 21:00,16,0,0,6,10
5/14/2013 22:00,5,0,0,3,2
5/14/2013 23:00,6,0,0,0,6
5/15/2013 0:00,4,0,0,3,1
5/15/2013 1:00,1,0,0,0,1
5/15/2013 2:00,0,0,0,0,0
5/15/2013 3:00,2,0,0,0,2
5/15/2013 4:00,1,0,0,0,1
5/15/2013 5:00,34,0,0,21,13
5/15/2013 6:00,71,0,0,46,25
5/15/2013 7:00,202,0,0,145,57
5/15/2013 8:00,181,0,0,144,37
5/15/2013 9:00,55,0,0,43,12
5/15/2013 10:00,46,0,0,32,14
5/15/2013 11:00,44,0,0,21,23
5/15/2013 12:00,52,0,0,24,28
5/15/2013 13:00,44,0,0,25,19
5/15/2013 14:00,49,0,0,17,32
5/15/2013 15:00,65,0,0,28,37
5/15/2013 16:00,125,0,0,24,101
5/15/2013 17:00,227,0,0,38,189
5/15/2013 18:00,115,0,0,22,93
5/15/2013 19:00,41,0,0,5,36
5/15/2013 20:00,24,0,0,8,16
5/15/2013 21:00,15,0,0,3,12
5/15/2013 22:00,5,0,0,1,4
5/15/2013 23:00,4,0,0,0,4
5/16/2013 0:00,2,0,0,1,1
