Date,NW 58th St Greenway st 22nd Ave NW Total,East,West
1/1/2014 0:00,18,6,12
1/1/2014 1:00,6,3,3
1/1/2014 2:00,3,0,3
1/1/2014 3:00,4,2,2
1/1/2014 4:00,5,3,2
1/1/2014 5:00,0,0,0
1/1/2014 6:00,2,2,0
1/1/2014 7:00,6,2,4
1/1/2014 8:00,2,0,2
1/1/2014 9:00,5,3,2
1/1/2014 10:00,16,0,16
1/1/2014 11:00,16,9,7
1/1/2014 12:00,29,8,21
1/1/2014 13:00,30,18,12
1/1/2014 14:00,31,19,12
1/1/2014 15:00,41,28,13
1/1/2014 16:00,37,29,8
1/1/2014 17:00,30,17,13
1/1/2014 18:00,20,15,5
1/1/2014 19:00,15,12,3
1/1/2014 20:00,27,17,10
1/1/2014 21:00,17,8,9
1/1/2014 22:00,10,6,4
1/1/2014 23:00,14,8,6
1/2/2014 0:00,3,2,1
1/2/2014 1:00,2,2,0
1/2/2014 2:00,0,0,0
1/2/2014 3:00,4,2,2
1/2/2014 4:00,1,1,0
1/2/2014 5:00,2,0,2
1/2/2014 6:00,9,8,1
1/2/2014 7:00,16,10,6
1/2/2014 8:00,27,22,5
1/2/2014 9:00,26,16,10
1/2/2014 10:00,46,28,18
1/2/2014 11:00,43,27,16
1/2/2014 12:00,26,18,8
1/2/2014 13:00,24,19,5
1/2/2014 14:00,18,15,3
1/2/2014 15:00,42,27,15
1/2/2014 16:00,26,16,10
1/2/2014 17:00,53,30,23
1/2/2014 18:00,27,19,8
1/2/2014 19:00,18,10,8
1/2/2014 20:00,14,12,2
1/2/2014 21:00,9,7,2
1/2/2014 22:00,16,12,4
1/2/2014 23:00,3,1,2
1/3/2014 0:00,7,7,0
1/3/2014 1:00,1,0,1
1/3/2014 2:00,0,0,0
1/3/2014 3:00,6,0,6
1/3/2014 4:00,0,0,0
1/3/2014 5:00,4,2,2
1/3/2014 6:00,4,2,2
1/3/2014 7:00,11,8,3
1/3/2014 8:00,27,17,10
1/3/2014 9:00,40,31,9
1/3/2014 10:00,39,25,14
1/3/2014 11:00,40,28,12
1/3/2014 12:00,39,22,17
1/3/2014 13:00,51,25,26
1/3/2014 14:00,42,19,23
1/3/2014 15:00,50,30,20
1/3/2014 16:00,52,26,26
1/3/2014 17:00,45,22,23
1/3/2014 18:00,49,27,22
1/3/2014 19:00,23,16,7
1/3/2014 20:00,16,14,2
1/3/2014 21:00,14,12,2
1/3/2014 22:00,9,7,2
1/3/2014 23:00,8,4,4
1/4/2014 0:00,8,6,2
1/4/2014 1:00,2,1,1
1/4/2014 2:00,4,4,0
1/4/2014 3:00,4,4,0
1/4/2014 4:00,4,4,0
1/4/2014 5:00,1,1,0
1/4/2014 6:00,2,2,0
1/4/2014 7:00,12,8,4
1/4/2014 8:00,13,5,8
1/4/2014 9:00,34,25,9
1/4/2014 10:00,26,14,12
1/4/2014 11:00,62,37,25
1/4/2014 12:00,64,40,24
1/4/2014 13:00,59,33,26
1/4/2014 14:00,77,43,34
1/4/2014 15:00,45,34,11
1/4/2014 16:00,37,23,14
1/4/2014 17:00,19,10,9
1/4/2014 18:00,23,16,7
1/4/2014 19:00,14,8,6
1/4/2014 20:00,12,11,1
1/4/2014 21:00,17,8,9
1/4/2014 22:00,10,7,3
1/4/2014 23:00,6,4,2
1/5/2014 0:00,5,4,1
1/5/2014 1:00,2,2,0
1/5/2014 2:00,3,0,3
1/5/2014 3:00,4,0,4
1/5/2014 4:00,4,2,2
1/5/2014 5:00,2,2,0
1/5/2014 6:00,5,3,2
1/5/2014 7:00,1,0,1
1/5/2014 8:00,12,5,7
1/5/2014 9:00,12,4,8
1/5/2014 10:00,21,12,9
1/5/2014 11:00,73,47,26
1/5/2014 12:00,68,37,31
1/5/2014 13:00,58,16,42
1/5/2014 14:00,69,28,41
1/5/2014 15:00,36,18,18
1/5/2014 16:00,27,20,7
1/5/2014 17:00,20,11,9
1/5/2014 18:00,19,12,7
1/5/2014 19:00,13,9,4
1/5/2014 20:00,9,4,5
1/5/2014 21:00,13,8,5
1/5/2014 22:00,8,6,2
1/5/2014 23:00,4,4,0
1/6/2014 0:00,1,1,0
1/6/2014 1:00,4,3,1
1/6/2014 2:00,0,0,0
1/6/2014 3:00,1,0,1
1/6/2014 4:00,0,0,0
1/6/2014 5:00,0,0,0
1/6/2014 6:00,14,9,5
1/6/2014 7:00,13,9,4
1/6/2014 8:00,25,19,6
1/6/2014 9:00,24,15,9
1/6/2014 10:00,28,16,12
1/6/2014 11:00,34,17,17
1/6/2014 12:00,31,23,8
1/6/2014 13:00,23,10,13
1/6/2014 14:00,42,32,10
1/6/2014 15:00,26,17,9
1/6/2014 16:00,35,24,11
1/6/2014 17:00,50,27,23
1/6/2014 18:00,39,24,15
1/6/2014 19:00,20,13,7
1/6/2014 20:00,6,4,2
1/6/2014 21:00,11,6,5
1/6/2014 22:00,4,4,0
1/6/2014 23:00,1,1,0
1/7/2014 0:00,2,2,0
1/7/2014 1:00,1,0,1
1/7/2014 2:00,2,2,0
1/7/2014 3:00,2,2,0
1/7/2014 4:00,0,0,0
1/7/2014 5:00,5,1,4
1/7/2014 6:00,3,2,1
1/7/2014 7:00,27,20,7
1/7/2014 8:00,29,20,9
